"ID","Incident Date","City","State","School name","Latitude","Longitude","School Type","Intent","Outcome","Number Killed","Number Wounded","Narrative","Source 1","URL 1","Source 2","URL 2","Source 3","URL 3","Created","Last Modified"
"352","2018-04-12","Raytown","MO","South Middle School","38.972833","-94.490189","","Attack on others","Injury","0","1","Gunfire erupted during a track meet at Raytown South Middle School. The shots were fired in the school parking lot, and one man sustained non life-threatening injuries from being hit in the stomach. The shooter, who was not identified, fled in a small black compact car. Police are continuing to investigate the incident.","KCTV News","https://bit.ly/2ETi1sg","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"353","2018-04-19","Jackson","MI","Jackson High School","42.2499","-84.4185","","Unknown","No one shot","0","0","Shots likely fired off-campus hit a school building, with bullets entering two classrooms where students were present. The school went into lockdown, though no injuries were reported. Police announced that they were investigating the incident to determine if the school was an intended target.","WLNS","https://bit.ly/2K7UWWA","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"354","2018-04-20","Ocala","FL","Forest High School","29.1436","-82.0667","","Attack on others","Injury","0","1","A man, 19, blended in with students and entered the school with a shotgun concealed in a guitar case. He then fired at a classroom door, injuring a 17-year old boy in the ankle. The school resource officer arrived on the scene within minutes; The shooter was taken into custody without incident.","CBS News","https://cbsn.ws/2FaZuaY","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"355","2018-04-23","Atlanta","GA","Mays High School","33.7339","-84.5038","","Other","No one shot","0","0","A female student got into an argument with a man, 19, in the school parking lot, which resulted in the man breaking a car window and injuring the student by broken glass. As the man drove away, he fired at least one shot into the air, sending the campus into lockdown. He was later arrested by the U.S. Marshals Southeast Regional Fugitive Task Force and charged with multiple offenses.","Atlanta Journal Constitution","https://on-ajc.com/2qY2DGL","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"356","2018-05-03","Waubay","SD","Enemy Swim Day School","45.425222","-97.292906","","Unknown","Injury","0","1","A 19-year-old custodian at Enemy Swim Day School was conducting a perimeter check when he was shot and injured. He was treated for his injuries, and police arrested a suspect in connection to the incident. Police do not believe there was any danger to other students or staff members.","KSFY","http://www.ksfy.com/content/news/Suspect-arrested-in-shooting-of-Enemy-Swim-Day-School-custodian-482327311.html ","","http://www.hubcityradio.com/2018/05/10/arrest-made-in-shooting-at-enemy-swim-day-school/","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"357","2018-05-03","Waynesboro","TN","Waynesboro Elementary School","35.308785","-87.76122","","Unintentional Discharge","No one shot","0","0","A student brought a gun to school and unintentionally discharged it inside a bathroom. The school went into lockdown, but no injuries were reported.","WSMV","https://bit.ly/2KBO3gH","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"358","2018-05-05","Fowlerville","MI","Fowlerville High School","42.670561","-84.07066","","Unintentional Discharge","No one shot","0","0","An off-duty police officer, watching his son compete at a high school wrestling meet, unintentionally discharged a handgun. A bullet hit the gymnasium floor but did not strike anyone. The meet was paused for fifty minutes before resuming.","CBS Detroit","https://cbsloc.al/2KHBgsZ","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"359","2018-05-11","Palmdale","CA","Highland High School","34.5921","-118.1759","","Attack on others","Injury","0","1","A 14-year-old former student shot and wounded a 15-year-old boy at Highland High School with an SKS rifle, which he then discarded in a field after fleeing the scene. He was arrested by an off-duty police officer in a nearby supermarket. Immediately following the shooting, the school went into temporary lockdown.","Reuters","https://reut.rs/2rJxJm1","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"360","2018-05-16","Dixon","IL","Dixon High School","41.847128","-89.488508","","Legal Intervention","No one shot","0","0","A former student fired several shots near the school gym where students were practicing for a graduation ceremony. He was confronted by a school resource officer and fled the school, pursued by the officer on foot, according to a preliminary police investigation. They exchanged gunfire, with the former student shooting first; the officer was unhurt but the shooter sustained non-life threatening injuries. He was later charged with aggravated discharge of a firearm. The school was placed on temporary lockdown.","Chicago Tribune","https://trib.in/2Gm7O8w","","","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
"361","2018-05-18","Carrollton","GA","Mt. Zion High School","33.60229","-85.156415","","Attack on others","Death","1","1","After a graduation ceremony, an argument occurred in the parking lot of Mount Zion High School. Shots were fired, killing a woman in her 40s and wounding a 21-year-old.","USA Today","https://www.usatoday.com/story/news/nation/2018/05/18/georgia-school-shooting-graduation/625528002/","","https://www.washingtonpost.com/news/post-nation/wp/2018/05/18/one-killed-two-injured-in-shooting-after-georgia-high-school-graduation-report-says/?noredirect=on&utm_term=.08de19a04109","","","2024-03-20T18:49:14.000Z","2024-03-20T18:49:52.000Z"
